Material,Plant,created On,Daily_Sales,Ph1
10000090,7001,2025-07-31 00:00:00,3,10004
10000090,7001,2025-07-31 00:00:00,3,10004
10000090,7001,2025-08-08 00:00:00,1,10004
10000090,7001,2025-08-08 00:00:00,1,10004
10000090,7001,2025-08-29 00:00:00,1,10004
10000090,7001,2025-08-29 00:00:00,1,10004
10000090,7001,2025-09-02 00:00:00,1,10004
10000090,7001,2025-09-02 00:00:00,1,10004
10000090,7001,2025-09-18 00:00:00,1,10004
10000090,7001,2025-09-18 00:00:00,1,10004
10000090,7001,2025-09-21 00:00:00,1,10004
10000090,7001,2025-09-21 00:00:00,1,10004
10000090,7002,2025-08-01 00:00:00,1,10004
10000090,7002,2025-08-01 00:00:00,1,10004
10000090,7002,2025-08-02 00:00:00,1,10004
10000090,7002,2025-08-02 00:00:00,1,10004
10000090,7002,2025-08-03 00:00:00,1,10004
10000090,7002,2025-08-03 00:00:00,1,10004
10000090,7002,2025-08-08 00:00:00,1,10004
10000090,7002,2025-08-08 00:00:00,1,10004
10000090,7002,2025-08-22 00:00:00,1,10004
10000090,7002,2025-08-22 00:00:00,1,10004
10000090,7002,2025-08-23 00:00:00,2,10004
10000090,7002,2025-08-23 00:00:00,2,10004
10000090,7002,2025-09-08 00:00:00,1,10004
10000090,7002,2025-09-08 00:00:00,1,10004
10000090,7002,2025-09-13 00:00:00,1,10004
10000090,7002,2025-09-13 00:00:00,1,10004
10000090,7002,2025-09-18 00:00:00,1,10004
10000090,7002,2025-09-18 00:00:00,1,10004
10000090,7002,2025-09-22 00:00:00,1,10004
10000090,7002,2025-09-22 00:00:00,1,10004
10000090,7003,2025-08-12 00:00:00,3,10004
10000090,7003,2025-08-12 00:00:00,3,10004
10000090,7003,2025-08-26 00:00:00,1,10004
10000090,7003,2025-08-26 00:00:00,1,10004
10000090,7003,2025-09-09 00:00:00,1,10004
10000090,7003,2025-09-09 00:00:00,1,10004
10000090,7003,2025-09-10 00:00:00,1,10004
10000090,7003,2025-09-10 00:00:00,1,10004
10000090,7003,2025-09-15 00:00:00,1,10004
10000090,7003,2025-09-15 00:00:00,1,10004
10000090,7003,2025-09-20 00:00:00,1,10004
10000090,7003,2025-09-20 00:00:00,1,10004
10000090,7004,2025-08-15 00:00:00,1,10004
10000090,7004,2025-08-15 00:00:00,1,10004
10000090,7004,2025-08-25 00:00:00,1,10004
10000090,7004,2025-08-25 00:00:00,1,10004
10000090,7004,2025-08-27 00:00:00,2,10004
10000090,7004,2025-08-27 00:00:00,2,10004
10000090,7004,2025-08-28 00:00:00,1,10004
10000090,7004,2025-08-28 00:00:00,1,10004
10000090,7004,2025-09-11 00:00:00,1,10004
10000090,7004,2025-09-11 00:00:00,1,10004
10000090,7004,2025-09-12 00:00:00,1,10004
10000090,7004,2025-09-12 00:00:00,1,10004
10000090,7004,2025-09-17 00:00:00,1,10004
10000090,7004,2025-09-17 00:00:00,1,10004
10000090,7004,2025-09-18 00:00:00,1,10004
10000090,7004,2025-09-18 00:00:00,1,10004
10000090,7005,2025-07-28 00:00:00,2,10004
10000090,7005,2025-07-28 00:00:00,2,10004
10000090,7005,2025-07-29 00:00:00,1,10004
10000090,7005,2025-07-29 00:00:00,1,10004
10000090,7005,2025-07-30 00:00:00,1,10004
10000090,7005,2025-07-30 00:00:00,1,10004
10000090,7005,2025-07-31 00:00:00,1,10004
10000090,7005,2025-07-31 00:00:00,1,10004
10000090,7005,2025-09-05 00:00:00,1,10004
10000090,7005,2025-09-05 00:00:00,1,10004
10000090,7005,2025-09-16 00:00:00,1,10004
10000090,7005,2025-09-16 00:00:00,1,10004
10000090,7005,2025-09-18 00:00:00,1,10004
10000090,7005,2025-09-18 00:00:00,1,10004
10000090,7006,2025-08-05 00:00:00,1,10004
10000090,7006,2025-08-05 00:00:00,1,10004
10000090,7006,2025-08-07 00:00:00,1,10004
10000090,7006,2025-08-07 00:00:00,1,10004
10000090,7006,2025-08-13 00:00:00,1,10004
10000090,7006,2025-08-13 00:00:00,1,10004
10000090,7006,2025-08-22 00:00:00,1,10004
10000090,7006,2025-08-22 00:00:00,1,10004
10000090,7006,2025-08-24 00:00:00,1,10004
10000090,7006,2025-08-24 00:00:00,1,10004
10000090,7006,2025-09-10 00:00:00,1,10004
10000090,7006,2025-09-10 00:00:00,1,10004
10000090,7006,2025-09-14 00:00:00,1,10004
10000090,7006,2025-09-14 00:00:00,1,10004
10000090,7006,2025-09-18 00:00:00,1,10004
10000090,7006,2025-09-18 00:00:00,1,10004
